user_id,event,timestamp
user_0902,1_registration,2026-01-01 00:02:00
user_0902,2_download_installer,2026-01-01 00:06:00
user_0380,1_registration,2026-01-01 00:07:00
user_1278,1_registration,2026-01-01 00:16:00
user_1278,2_download_installer,2026-01-01 00:20:00
user_0749,1_registration,2026-01-01 00:25:00
user_1143,1_registration,2026-01-01 00:29:00
user_1143,2_download_installer,2026-01-01 00:31:00
user_1425,1_registration,2026-01-01 00:38:00
user_0980,1_registration,2026-01-01 00:50:00
user_0980,2_download_installer,2026-01-01 00:52:00
user_0009,1_registration,2026-01-01 00:54:00
user_1425,2_download_installer,2026-01-01 01:02:00
user_0906,1_registration,2026-01-01 01:17:00
user_1896,1_registration,2026-01-01 01:25:00
user_0009,2_download_installer,2026-01-01 01:27:00
user_0009,3_plugin_open,2026-01-01 01:27:00
user_0380,3_plugin_open,2026-01-01 01:28:00
user_0380,2_download_installer,2026-01-01 01:28:00
user_0906,2_download_installer,2026-01-01 01:28:00
user_1896,2_download_installer,2026-01-01 01:29:00
user_0009,4_preset_change,2026-01-01 01:47:00
user_1741,1_registration,2026-01-01 02:00:00
user_0862,1_registration,2026-01-01 02:04:00
user_0380,4_preset_change,2026-01-01 02:11:00
user_0862,3_plugin_open,2026-01-01 02:12:00
user_0862,2_download_installer,2026-01-01 02:12:00
user_0009,4_preset_change,2026-01-01 02:20:00
user_1741,2_download_installer,2026-01-01 02:22:00
user_0380,4_preset_change,2026-01-01 02:24:00
user_0380,4_preset_change,2026-01-01 02:26:00
user_0906,3_plugin_open,2026-01-01 02:28:00
user_1896,3_plugin_open,2026-01-01 02:29:00
user_0009,4_preset_change,2026-01-01 02:30:00
user_0906,4_preset_change,2026-01-01 02:38:00
user_0009,4_preset_change,2026-01-01 02:43:00
user_0906,4_preset_change,2026-01-01 02:44:00
user_0862,4_preset_change,2026-01-01 02:49:00
user_0906,4_preset_change,2026-01-01 02:56:00
user_0380,4_preset_change,2026-01-01 03:09:00
user_1896,4_preset_change,2026-01-01 03:13:00
user_0380,4_preset_change,2026-01-01 03:19:00
user_1278,3_plugin_open,2026-01-01 03:20:00
user_1741,3_plugin_open,2026-01-01 03:22:00
user_0380,4_preset_change,2026-01-01 03:23:00
user_1278,4_preset_change,2026-01-01 03:32:00
user_0862,4_preset_change,2026-01-01 03:32:00
user_0906,4_preset_change,2026-01-01 03:32:00
user_1896,4_preset_change,2026-01-01 03:35:00
user_1896,4_preset_change,2026-01-01 03:42:00
user_0380,4_preset_change,2026-01-01 03:50:00
user_0430,1_registration,2026-01-01 03:50:00
user_1896,4_preset_change,2026-01-01 03:57:00
user_0906,4_preset_change,2026-01-01 04:00:00
user_0380,5_ai_assistant_click,2026-01-01 04:03:00
user_1741,4_preset_change,2026-01-01 04:03:00
user_0862,4_preset_change,2026-01-01 04:05:00
user_0906,4_preset_change,2026-01-01 04:05:00
user_1896,4_preset_change,2026-01-01 04:06:00
user_1896,4_preset_change,2026-01-01 04:09:00
user_1278,4_preset_change,2026-01-01 04:10:00
user_0906,4_preset_change,2026-01-01 04:16:00
user_1449,1_registration,2026-01-01 04:27:00
user_1896,4_preset_change,2026-01-01 04:28:00
user_1079,1_registration,2026-01-01 04:36:00
user_1079,2_download_installer,2026-01-01 04:37:00
user_1741,4_preset_change,2026-01-01 04:39:00
user_0862,4_preset_change,2026-01-01 04:41:00
user_1278,4_preset_change,2026-01-01 04:47:00
user_1896,4_preset_change,2026-01-01 04:51:00
user_1120,1_registration,2026-01-01 04:52:00
user_0906,4_preset_change,2026-01-01 04:56:00
user_1741,4_preset_change,2026-01-01 04:58:00
user_1449,2_download_installer,2026-01-01 04:58:00
user_1449,3_plugin_open,2026-01-01 04:58:00
user_0906,5_ai_assistant_click,2026-01-01 05:01:00
user_0902,3_plugin_open,2026-01-01 05:06:00
user_1278,4_preset_change,2026-01-01 05:10:00
user_1278,4_preset_change,2026-01-01 05:12:00
user_0862,4_preset_change,2026-01-01 05:13:00
user_1741,4_preset_change,2026-01-01 05:16:00
user_1449,4_preset_change,2026-01-01 05:17:00
user_1278,4_preset_change,2026-01-01 05:17:00
user_0902,4_preset_change,2026-01-01 05:19:00
user_1896,4_preset_change,2026-01-01 05:22:00
user_0968,1_registration,2026-01-01 05:23:00
user_0968,2_download_installer,2026-01-01 05:28:00
user_0902,4_preset_change,2026-01-01 05:30:00
user_1143,3_plugin_open,2026-01-01 05:31:00
user_0862,4_preset_change,2026-01-01 05:46:00
user_1741,4_preset_change,2026-01-01 05:48:00
user_1278,4_preset_change,2026-01-01 05:54:00
user_1449,4_preset_change,2026-01-01 05:56:00
user_1896,4_preset_change,2026-01-01 05:59:00
user_1278,4_preset_change,2026-01-01 06:03:00
user_1143,4_preset_change,2026-01-01 06:04:00
user_0902,4_preset_change,2026-01-01 06:05:00
user_1741,4_preset_change,2026-01-01 06:15:00
user_1278,5_ai_assistant_click,2026-01-01 06:16:00
user_1449,4_preset_change,2026-01-01 06:18:00
user_0616,1_registration,2026-01-01 06:18:00
user_0019,1_registration,2026-01-01 06:20:00
user_0839,1_registration,2026-01-01 06:21:00
user_0019,2_download_installer,2026-01-01 06:23:00
user_0019,3_plugin_open,2026-01-01 06:23:00
user_0862,4_preset_change,2026-01-01 06:24:00
user_0492,1_registration,2026-01-01 06:25:00
user_1896,4_preset_change,2026-01-01 06:28:00
user_1143,4_preset_change,2026-01-01 06:29:00
user_0902,4_preset_change,2026-01-01 06:30:00
user_0839,2_download_installer,2026-01-01 06:31:00
user_0616,2_download_installer,2026-01-01 06:37:00
user_1741,4_preset_change,2026-01-01 06:38:00
user_1143,4_preset_change,2026-01-01 06:42:00
user_0492,2_download_installer,2026-01-01 06:56:00
user_0862,4_preset_change,2026-01-01 06:57:00
user_1449,4_preset_change,2026-01-01 06:58:00
user_0902,4_preset_change,2026-01-01 06:59:00
user_1896,4_preset_change,2026-01-01 07:04:00
user_0019,4_preset_change,2026-01-01 07:05:00
user_1896,4_preset_change,2026-01-01 07:07:00
user_1143,4_preset_change,2026-01-01 07:14:00
user_1741,4_preset_change,2026-01-01 07:15:00
user_1449,4_preset_change,2026-01-01 07:15:00
